Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
1.0;14;1;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Adopter des règles d’urbanisme en concertation avec les promoteurs en faveur de la transition énergétique en identifiant des objectifs réalisables;coût +/impact+;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Identifier ce qui dans le PLUm  présente un facteur d'accélération ou un frein avant d'envisager toute nouvelle règle. Envisager une réflexion sur une démarche volontariste;PLUm;non;coût+;1;impact+;1;Energies renouvelables
4.0;31;149;Mobilité;Réorganiser la circulation et le stationnement motorisés;Réorganiser le plan de circulation à l'échelle de la métropole pour limiter le trafic de transit dans la zone urbaine et donner la priorité aux modes actifs;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Réflexion en 2022 sur le Plan de circulation d'Orléans, avant extension à la métropole;PDU;oui;coût++;2;impact+++;3;Mobilités durables
3.0;25;258;Biodiversité;La nature comme solution;"Réaliser le plan Canopée : inventaire, protection, gestion et développement du patrimoine arboré
Connaissance, suivi et stratégie pour le patrimoine arboré privé et public ​basé sur la couverture des arbres  plutôt que sur un décompte des tiges.​";coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;"Partager l'enjeu à l'échelle de la Métropole
réaliser un parrangonnage";PCAET;oui;coût+++;3;impact+++;3;Biodiversité
3.0;25;272;Biodiversité;Exemplarité des collectivités;Généraliser la Charte Régionale de l’Arbre à la Métropole (ARF);coût+/ impact++;Orléans Métropole pilote;;;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût+;1;impact++;2;Biodiversité
6.0;51;119;Inondation;Mieux connaitre et adapter son territoire;Favoriser la transformation du bâti existant afin de le rendre plus resilient;coût +++/impact+++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;n'a pas encore été chiffré;Pas d'action en 2022;PAPI;non;coût+++;3;impact+++;3;Risque inondation
8.0;42;203;Alimentation;Réduire et valoriser les biodéchets;Développer des expériences de sauvetage de ces denrées et de transformation, pour revente à bas prix;coût +/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Etudier le déroulement de ces actions dans d'autres collectivités;;non;coût+;1;impact+++;3;Alimentation et agriculture
6.0;56;122;Inondation;Mieux connaitre et adapter son territoire;Recenser les cavités sur la métropole;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Développer le recensement sur les communes volontaires. Porter une étude de préfiguration du PAPRICA (Programme d'Actions et de  Prévention du RISques Cavités);;non;coût+;1;impact++;2;Risque inondation
6.0;59;921;Inondation;Organiser la gestion de crise et le post crise;Construire l’observatoire des Risques pour conserver la mémoire des phénomènes, pour développer la métrologie afin de renforcer nos capacités d’alerte de la population;;;;;;;;non;;N.A.;;N.A.;Risque inondation
3.0;66;255;Biodiversité;La nature comme solution;Développer des aménagements de cours d'écoles durables et résilients face au risque canicule en intégrant biodiv, gestion de l’eau et plantations. (Ex. Cours d'école Oasis);coût +++/impact+++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Mobiliser l'expertise des services d'Orléans Métropole au bénéfice des communes qui souhaitent s'engager dans cette démarche. Projet démonstrateur évoqué dans l'axe Eau;PCAET;non;coût+++;3;impact+++;3;Biodiversité
7.0;70;926;Eau;Prix de l'eau;Trouver le juste équilibre entre maîtrise du prix de l’eau et pérennisation des infrastructures;;;;;;;;non;;N.A.;;N.A.;Eau et milieux aquatiques
8.0;72;193;Alimentation;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;Préserver le foncier agricole, à moyen et long terme;coût ++/ impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;est déjà en place, fonctionne;Suivre les Zones Agricoles Protégées en cours de création et réfléchir à un PAEN (périmètres de protection et de mise en valeur des espaces agricoles et naturels périurbains);Charte agricole;oui;coût++;2;impact++;2;Alimentation et agriculture
2.0;1;284;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Créer un guichet unique de la rénovation énergétique proposant un accompagnement de A à Z;coût ++/impact +++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Conventionner avec l'ADIL France Renov pour mettre en place le guichet;PLH;oui;coût++;2;impact+++;3;Rénovation énergétique
2.0;2;296;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;"Proposer un dispositif limitant l'avance de fonds par le porteur de projet : préfinancement des aides (prêt à taux 0) ou système de ""tiers payant""";coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;"Intégrer cette dimension dans l'action ""Créer une offre de financement unique"", étudier de Conventionner avec les organismes assurant le préfinancement des aides (SACICAP)";;non;coût+;1;impact+++;3;Rénovation énergétique
2.0;3;302;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Favoriser / Faire émerger la coordination entre les artisans - changement de pratiques;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Engager le dialogue avec les chambres consulaires et autres partenaires (ADIL, etc.);;non;coût++;2;impact+++;3;Rénovation énergétique
2.0;3;305;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Promouvoir et développer la géothermie, à l'échelle d'immeuble ou de quartier;coût+/ impact++;Orléans Métropole soutient;;;;Approche déclinée dans l'axe Energies Renouvelables;SDE;non;coût+;1;impact++;2;Rénovation énergétique
2.0;3;306;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Promouvoir / Soutenir le développement de projets exemplaires (sobres, passifs, usage de matériaux de réemploi, biosourcés, intégrant biodiversité);coût +/impact+;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Intégrer ces missions dans la convention avec l'ADIL sur le guichet de la rénovation;;non;coût+;1;impact+;1;Rénovation énergétique
2.0;6;314;Rénovation;Intégrer l'usage des logements comme levier de la performance énergétique des logements;Promouvoir / Soutenir les outils favorisant la sobriété énergétique du bâtiment (domotique, etc.);coût ++/ impact ++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Etudier l'opportunité d'un financement pour faire effet levier sur les logements sociaux et les copropriétés;;non;coût++;2;impact++;2;Rénovation énergétique
1.0;12;900;EnR;Agir spécifiquement en faveur du développement du photovoltaïque;Publication dès 2022 d’un appel à manifestation d’intérêt pour mettre à disposition des surfaces compatibles avec le développement de cette filière. Organisation en parallèle d’une démarche de stratégie foncière afin d’alimenter une base de données de surfaces disponibles qui pourront faire l’objet de séries d’appels à manifestation d’intérêt successifs;;;;;;;;non;;N.A.;;N.A.;Energies renouvelables
1.0;14;2;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;S'appuyer sur les règlements d’urbanisme (PLUM) pour contraindre les collectivités, les particuliers et les entreprises à recourir aux énergies renouvelables;coût +/impact+;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;sans objet;Produire une notice PLUm dédiée aux Energies renouvelables (extraits des divers documents);SDE;non;coût+;1;impact+;1;Energies renouvelables
1.0;14;61;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Passer dans une logique d'économie circulaire - Valoriser les déchets. Renforcer les liens avec la filière agricole (production, épandage). Renforcer les liens entre acteurs à toutes les mailles de la chaîne alimentaire (production, consommation, déchets...). Lien avec les transports : biométhane.;coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;"Intégrer un passage spécifique à la méthanisation dans la future charte multi-EnR du territoire d'Orléans Métropole
identifier les opportunités de mutualisation de déchets de différentes sources (biodéchets ménagers, professionnels, boues d'épuration).";SDE;non;coût+++;3;impact+++;3;Energies renouvelables
1.0;14;62;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Aider les habitants à développer leur autonomie énergétique via une aide à l'isolation thermique, et à la mise en place de panneaux solaires pour l'eau et photovoltaïque pour produire sa propre électricité;coût ++/ impact ++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;S'appuyer sur l'Espace Conseil France Rénov' pour le volet conseils. Etude pour le développement d'un régime d'aides financières à porter par Orléans Métropole sous réserve d'une réelle plus-value par rapport aux dispositifs déjà existante et sous réserve de disposer d'un processus admnistratif simplifié pour l'usager (intégrer le guichet Ma prime rénov');PCAET;non;coût++;2;impact++;2;Energies renouvelables
9.0;14;354;Ville durable;Préserver les ressources;Favoriser le développement des énergies renouvelables pour répondre aux besoins énergétiques des habitants et proposer un mix énergétique (ENR, biogaz, hydrogène, électrique);coût +++/impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Approche déclinée dans l'axe Energies Renouvelables;SDE;non;coût+++;3;impact++;2;Ville durable
1.0;17;41;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Favoriser les bonnes pratiques et les équipements performants bois-énergie chez les particuliers;;;;;;;;non;;N.A.;;N.A.;Energies renouvelables
3.0;22;239;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Poursuite du projet Parc de Loire - Valorisation environnementale et pédagogique;coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;fait l'objet d'une inscription au PPI;"Poursuite de l'aménagement
mise en oeuvre du plan de gestion écologique
réflexion sur la gestion (portage, réflexion sur un gestionnaire unique, recherches d'opérateurs...)";autre;non;coût+++;3;impact+++;3;Biodiversité
3.0;24;254;Biodiversité;La nature comme solution;Développer les aménagements qualitatifs AUSSI dans les zones urbaines périphériques (aujourd'hui moins bien aménagées pour la biodiversité);coût +/impact +++;Orléans Métropole soutient;;mérite une progression;n'a pas encore été chiffré;Adaptation du référentiel de la ville durable sur ce sujet;;non;coût+;1;impact+++;3;Biodiversité
4.0;39;913;Mobilité;Améliorer et développer les services de mobilité;Améliorer les performances du réseau de bus structurants et étudier la création de nouvelles lignes de bus en site propre, voire l’extension du réseau de tramway;;;;;;;;non;;N.A.;;N.A.;Mobilités durables
6.0;54;109;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Mettre en œuvre un système d'alerte;coût +++/impact+++;Orléans Métropole soutient;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Poursuite des campagnes de sensibilisation et de formation des communes;;non;coût+++;3;impact+++;3;Risque inondation
6.0;54;123;Inondation;Organiser la gestion de crise et le post crise;Création de PC de Crise pour les communes et œuvrer au renforcement des coopérations intercommunales;coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;sans objet;Groupe référents risques de la Métropole : sensibilisation et mise en commun des bonnes pratiques entre communes;;oui;coût++;2;impact+++;3;Risque inondation
6.0;58;920;Inondation;Mieux connaitre et adapter son territoire;Engager la mise en œuvre opérationnelle d’un schéma directeur de réduction des vulnérabilités face au risque d’inondation par ruissellement : engager des travaux à l’échelle des bassins versants, accompagner la population dans le déploiement de mesures individuelles, communiquer sur le risque ruissellement et accompagner l’aménagement du territoire.;;;;;;;;non;;N.A.;;N.A.;Risque inondation
8.0;72;194;Alimentation;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;S'organiser pour remobiliser du foncier agricole vers la production avec la création d'un établissement foncier agricole;coût ++/ impact ++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;n'a pas encore été chiffré;Conventionner avec l'EPFLi;Charte agricole;non;coût++;2;impact++;2;Alimentation et agriculture
8.0;76;217;Alimentation;Favoriser les espaces nourriciers (jardins, végétations urbaines, …) en ville pour augmenter les sources de production locales;Multiplier les espaces nourriciers en ville afin de fournir plus de nourriture locale, par des jardins individuels, collectifs ou publics;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Identifier les pistes d'action possibles, créer des jardins partagés;;oui;coût+;1;impact++;2;Alimentation et agriculture
8.0;78;200;Alimentation;Développer une agriculture durable, en adéquation avec les attentes des consommateurs, qui réponde aux enjeux du territoire, de ses habitants et de la Loi EGAlim;Multiplier les surfaces agricoles cultivées avec des techniques d'agroécologie et de permaculture;coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;En fonction des porteurs de projet;;non;coût+;1;impact+++;3;Alimentation et agriculture
9.0;84;317;Ville durable;Développer une approche intégrée d'évaluation des projets urbains;Généraliser les études d'impact pour tous les projets d’aménagement.;coût +/impact+;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Mise en application du Référentiel pour la ville Durable, outil intégré de bonnes pratiques et d'évaluation des projets d'aménagement. Intégration aux évaluations référentiel Ville Durable ainsi qu'aux différents projets;;non;coût+;1;impact+;1;Ville durable
9.0;84;320;Ville durable;Développer une approche intégrée d'évaluation des projets urbains;Mettre en place des approches intégrées prenant en compte la valeur globale dans les opérations d’aménagement (pas seulement la desserte, l’emplacement mais aussi la qualité des sols, la biodiversité …) - S’appuyer sur cette approche pour arbitrer entre les projets;coût +/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Intégration aux préconisations des évaluations référentiel Ville Durable;;non;coût+;1;impact+++;3;Ville durable
9.0;88;363;Ville durable;Préserver les ressources;Travailler sur les matériaux de construction : créer de la circularité sur le territoire à travers des matériaux locaux et recourir à des matériaux « isolants éthiques et durables »;coût ++/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Approche déclinée dans l'axe Rénovation Energétique;PCAET;non;coût++;2;impact+++;3;Ville durable
4.0;90;131;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Maintenir les largeurs actuelles des places de stationnement pour limiter le développement des SUV;coût +/impact+;Orléans Métropole pilote;;est déjà en place,fonctionne;;;;non;coût+;1;impact+;1;Mobilités durables
3.0;96;227;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Former / recruter dans les services d'urbanisme aux éléments de paysage et de biodiversité;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Relier cette solution aux travaux du référentiel Ville Durable. Monter un partenariat avec  l'Agence Régionale de biodiversité et France Nature Environnement pour faire intervenir des spécialistes et former les agents;PLUm;non;coût++;2;impact++;2;Biodiversité
7.0;97;76;Eau;Communication sur la thématique de l'EAU;Créer un parcours de sensibilisation autour de la ressource en mêlant jeu, patrimoine, sport;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût+;1;impact++;2;Eau et milieux aquatiques
3.0;97;223;Biodiversité;Les citoyens à l'action en faveur de la biodiversité;Développer à l'échelle d'Orléans Métropole les actions d'embellissons nos rues / cultivons notre ville (plantations participatives sur l'espace public aujourd'hui uniquement Ville d'Orléans);coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;"Utiliser le projet ""jardins éphémères"" pour ouvrir une démarche similiaire à Cultivons Notre Ville. Ouvrir un temps de discussions avec les communes qui seraient intéressées";;non;coût+++;3;impact+++;3;Biodiversité
2.0;97;277;Rénovation;Mobiliser l'ensemble des acteurs du territoire par une stratégie de sensibilisation et de communication sur les enjeux de la rénovation énergétique;Développer des campagnes de communication inclusive;coût ++/ impact ++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;fait l'objet d'une inscription au PPI;Lancer la campagne de communication sur la mise en place du guichet de la rénovation;;non;coût++;2;impact++;2;Rénovation énergétique
9.0;97;368;Ville durable;Développer la connaissance autour de la ville durable et ses ressources;Faire connaître les initiatives positives qui pourraient essaimer;coût+/ impact++;Orléans Métropole soutient;;statut expérimental;n'a pas encore été chiffré;Envisager d'utiliser le site Internet des Assises pour communiquer sur ces initiatives. Volonté de développer cette dynamique dans les thématiques Rénovation, Energies Renouvelables ou Déchets;;oui;coût+;1;impact++;2;Ville durable
1.0;13,97;12;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Faire une Conférence participative ou un événement pour sensibiliser;coût +/impact+;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;fait l'objet d'une inscription au PPI;Identifier un partenaire, intégrer cette proposition dans un programme plus global de sensibilisation comme par exemple la journée annuelle des Assises;;non;coût+;1;impact+;1;Energies renouvelables
3.0;24,26;232;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Accompagner à la définition de plans de gestion, pour préserver et valoriser la biodiversité sur les différents espaces;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Suite à la détermination d'une stratégie d'intervention, éaccompagnerle déploiement des plans de gestion de sites d'intérêt métropolitain;PCAET;non;coût+;1;impact++;2;Biodiversité
3.0;24,26;236;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Transformer les espaces gazonnées des infrastructures  en espace en gestion extensive;coût +/impact +++;Orléans Métropole pilote;;est déjà en place,fonctionne;n'a pas encore été chiffré;Mettre en œuvre cette solution sur les espaces verts, les accompagnements de voiries où ce n'est pas encore le cas et où c'est pertinent de le faire;;non;coût+;1;impact+++;3;Biodiversité
3.0;26,97;235;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Installer dans chaque square des micro zones d’herbes folles et fleurs utiles à la biodiversité. Cet espace didactique inclurait un panneau explicatif avec 2 objectifs  1-  Décrire ce qui s’y passe (« Venez écouter nos papillons orléanais »…) 2 - Expliquer en quoi c’est utile et comment la ville et métropole s’engagent;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Identifier des sites et les mélanges de graines ad hoc. Concevoir les panneaux.;PCAET;non;coût++;2;impact++;2;Biodiversité
4.0;35,97;166;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;Mener des actions de communication et sensibilisation autour du partage de la voirie (éducation au code de la rue, respect du code de la route…);coût+/ impact++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;En attente définition stratégie de communication autour des mobilités.;PDU;non;coût+;1;impact++;2;Mobilités durables
4.0;35,97;169;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;"Inciter au développement des ""pedibus""";coût ++/ impact ++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;;;non;coût++;2;impact++;2;Mobilités durables
4.0;35,97;172;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;Sensibiliser et accompagner les entreprises et recruteurs autour des mobilités durables;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;;PDU;non;coût+;1;impact++;2;Mobilités durables
5.0;41,48,97;387;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Informer tout le monde que l'utilisation du plastique a des conséquences négatives sur l'environnement et la santé;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;;"Mieux faire connaitre la newsletter consacrée à la ""réduction des déchets""";;non;coût+;1;impact+;1;Déchets et économie circulaire
6.0;52,97;102;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Mise en valeur et diffusions des DICRIM;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Déjà en place via le groupe référents des risques de la métropole: poursuite de la démarche;PAPI;non;coût+;1;impact++;2;Risque inondation
7.0;H7;87;Eau;Préserver les ressources en eau;Supprimer les intrants agricoles pour limiter la pollution des nappes;coût +++/impact+++;Orléans Métropole soutient;;besoin d'études préalables;;Pas d'action directe en 2022. Action à lier à la thématique agriculture et alimentation;;non;coût+++;3;impact+++;3;Eau et milieux aquatiques
2.0;1;287;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Créer un lieu unique rassemblant tous les acteurs de l'information sur le logement, et notamment le guichet de la rénovation énergétique;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;"Engager la réflexion avec les acteurs de l'habitat
rechercher un lieu";PLH;non;coût++;2;impact+++;3;Rénovation énergétique
2.0;2;298;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Conditionner les aides à un contrôle de la performance énergétique réelle après travaux;coût ++/ impact ++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;sans objet;"Définir un nouveau réglement des aides de la Métropole
Intégrer cette actions aux missions du guichet de la rénovation énergétique (convention)";;non;coût++;2;impact++;2;Rénovation énergétique
2.0;6;312;Rénovation;Intégrer l'usage des logements comme levier de la performance énergétique des logements;Réaliser un Tutoriel sur l’usage des bâtiments rénovés;coût ++/ impact ++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Expérimenter sur la copropriété Prairie;;non;coût++;2;impact++;2;Rénovation énergétique
1.0;11;21;EnR;Impliquer les citoyens dans le développement des énergies renouvelables;Participer à des projets d'énergies renouvelables collectifs, où collectivités et citoyens sont impliqués dans le financement et la gouvernance;coût +/impact +++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Donner une place aux collectifs citoyens existants dans la prise de participation au capital du Plan de solarisation;;non;coût+;1;impact+++;3;Energies renouvelables
1.0;13;52;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Consolider une filière professionnelle sur les énergies renouvelables (travailler sur les offres de formation, l'accompagnement à la labellisation, etc.);coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;En lien avec les partenaires (Etat, Région), faire un diagnostic de l'offre et poser une stratégie. Démarche à coupler avec le volet rénovation énergétique;PCAET;oui;coût++;2;impact+++;3;Energies renouvelables
1.0;12;35;EnR;Agir spécifiquement en faveur du développement du photovoltaïque;Créer un cadre de confiance, un discours clair sur les synergies avec les acteurs pour développer les grands projets photovoltaïques;coût +/impact+;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;"Publication d'un appel à manifestation d'intérêt pour des projets solaires photovoltaïques co-développés
Construction d'une charte multi-EnR comme cadre au développement des grands projets photovoltaïques";SDE;oui;coût+;1;impact+;1;Energies renouvelables
