topic_id;topic_description;topic_sujet;topic_type;topic_url;topic_totem
901;Accompagner de manière prioritaire la rénovation auprès des foyers en précarité énergétique;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=901;non
32;"Étendre les services de transport à la demande (sur les secteurs peu denses et/ou le soir et week-end);";Mobilités durables;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=32&refine.theme_id=Mobilité;non
220;Accompagner le changement des restaurations collectives dans les établissements scolaires vers une cuisine “bonne pour le climat” / sous signe de qualité / locale / bio;Eduquer et sensibiliser les habitants de la Métropole aux enjeux de l'agriculture et de l'alimentation durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=220;non
372;Soutenir les pratiques vertueuses sur les chantiers BTP (déconstruction, réemploi de matériaux);Développer l'exemplarité de la collectivité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=372;non
H6;Actions hors manifeste - Risque inondation;Risque inondation;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=H6&refine.theme_id=Inondation;non
318;Développer des infrastructures favorables aux mobilités piéton et vélo : autoroutes à vélo sur les axes principaux de la ville, zone de stationnement vélo sécurisé, zones piétonnes…;Développer une approche intégrée d'évaluation des projets urbains;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=318;non
11;Impulser la dynamique du territoire en prenant appui sur la société à créer Orléans Métropole Energies en  créant un outil de portage local pour produire et distribuer avec une logique de mix énergétique (multi-filières);Energies renouvelables;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=11&refine.theme_id=EnR;non
29;Lutter contre les espèces invasives;Biodiversité;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=29&refine.theme_id=Biodiversité;non
34;Mettre en place une Zone à Faibles Emissions (ZFE) ou des Zones à circulation restreinte;Mobilités durables;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=34&refine.theme_id=Mobilité;non
261;Créer un réseau de zones ensauvagées;La nature comme solution;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=261;non
EnR;Energies renouvelables;Produire en 2030 l’équivalent de 21% de notre consommation d’énergie pour contribuer à baisser de 50% nos GES à cette échéance;theme;https://data.orleans-metropole.fr/pages/themes-transition-ecologique/?refine.theme_id=EnR;non
Alimentation;Alimentation et agriculture;"Nourrir notre population avec des productions locales en tendant vers l’autonomie alimentaire ;diminuer les gaz à effet de serre liés à l’activité agricole par la diminution des intrants";theme;https://data.orleans-metropole.fr/pages/themes-transition-ecologique/?refine.theme_id=Alimentation;non
Ville durable;Ville durable;Accompagner la croissance et l’attractivité de la Métropole tout en la rendant plus respectueuse de son environnement, moins consommatrice de ressources;theme;https://data.orleans-metropole.fr/pages/themes-transition-ecologique/?refine.theme_id=Ville durable;non
407;Augmenter les formations et les emplois dans l'économie circulaire;Soutenir le développement d'une économie locale plus circulaire;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=407;non
117;Re végétaliser pour lutter contre le ruissellement;Mieux connaitre et adapter son territoire;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=117;non
90;Fournir une eau de qualité et saine à l'ensemble des habitants et notamment aux plus démunis (SDF...).;Promotion de l'eau du robinet;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=90;oui
89;Préserver et développer les zones humides;Préserver les ressources en eau;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=89;non
177;Aider les entreprises à transformer leur flotte vers des véhicules moins polluants;Diminuer l'impact des véhicules motorisés sur l'environnement;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=177;non
921;Construire l’observatoire des Risques pour conserver la mémoire des phénomènes, pour développer la métrologie afin de renforcer nos capacités d’alerte de la population;Organiser la gestion de crise et le post crise;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=921;non
124;Renforcer nos capacités d’actions et de gestion post-crise : meilleure couverture assurantielle, gestion des déchets, résilience des réseaux;Organiser la gestion de crise et le post crise;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=124;non
924;Préserver le milieu naturel en réduisant les rejets non épurés;Préserver les ressources en eau;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=924;non
193;Préserver le foncier agricole, à moyen et long terme;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=193;oui
4;Développer la formation initiale et continue des professionnels locaux de la filière bâtiment / énergie;Rénovation énergétique;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=4&refine.theme_id=Rénovation;non
8;Contribuer à une meilleure connaissance des bâtiments du tertiaire privé et animer les réseaux d’acteurs pour inciter au passage à l’acte;Rénovation énergétique;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=8&refine.theme_id=Rénovation;non
28;Sensibiliser et mobiliser la population avec les outils existants et futurs (Museum, Parc de Loire …)​,;Biodiversité;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=28&refine.theme_id=Biodiversité;non
40;Renforcer l’attractivité du réseau TAO en poursuivant la modernisation de ses équipements (renouvellement de la flotte de bus,  puis de tram, billettique, abris voyageurs …);Mobilités durables;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=40&refine.theme_id=Mobilité;non
88;Travailler sur les matériaux de construction : créer de la circularité sur le territoire à travers des matériaux locaux et recourir à des matériaux « isolants éthiques et durables »;Ville durable;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=88&refine.theme_id=Ville durable;non
10;Apporter un soutien spécifique au tertiaire public dans une logique d’exemplarité du patrimoine;Rénovation énergétique;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=10&refine.theme_id=Rénovation;non
56;Recenser les cavités sur la métropole et mettre en œuvre un plan de gestion;Risque inondation;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=56&refine.theme_id=Inondation;non
H10;Actions hors manifeste - Gouvernance partagée;Gouvernance partagée;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=H10&refine.theme_id=Gouvernance;non
20;Encourager l’émergence d’une filière hydrogène;Energies renouvelables;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=20&refine.theme_id=EnR;non
46;Lancer des Eco-défis aux artisans et aux commerçants, en partenariat avec la Chambre des Métiers et de l'Artisanat;Déchets et économie circulaire;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=46&refine.theme_id=Déchets et économie circulaire;non
48;"Développer une école des consomm’acteurs : réunions d'informations, ateliers pratiques soutenus financièrement, visites de sites exemplaires, défis  ""0 GASPI""/""Transition"" multithématiques (déchets, énergie, conso...)";Déchets et économie circulaire;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=48&refine.theme_id=Déchets et économie circulaire;non
61;Préserver la ressource en eau en lien notamment avec le monde agricole et industriel;Eau et milieux aquatiques;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=61&refine.theme_id=Eau;non
82;Intégrer la qualité de l’air aux problématiques traitées;Ville durable;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=82&refine.theme_id=Ville durable;non
Gouvernance;Gouvernance partagée;Développer une gouvernance partagée des engagements métropolitains et inciter à la mobilisation de tous;theme;https://data.orleans-metropole.fr/pages/themes-transition-ecologique/?refine.theme_id=Gouvernance;non
291;Prendre en compte le besoin global de travaux des logements pour assurer une rénovation pérenne (énergie + remise au norme, salubrité, ...) : tant pour le diagnostic de départ que pour le financement des travaux;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=291;non
906;Développer une boîte à outils d’appui aux communes afin de renforcer  la dynamique de rénovation énergétique des bâtiments publics;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=906;non
53;Développer par des installateurs agréés, fiables et faciles à identifier (par exemple grâce à la Métropole), la pose de panneaux photovoltaïques sur les toitures de particuliers;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=53;non
55;Mettre en œuvre le dispositif DOREMI  - Former des professionnels de la rénovation énergétique, pour des rénovations complètes en basse consommation.;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=55;non
926;Trouver le juste équilibre entre maîtrise du prix de l’eau et pérennisation des infrastructures;Prix de l'eau;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=926;non
349;Réduire la contribution des chaufferies à la pollution de l’air pendant les périodes de canicule (arrêt ou passage en fonctionnement au gaz).;Préserver les ressources;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=349;non
341;Intégrer la réflexion sur les logements vacants, comme solution pour limiter la densification, favoriser le développement d’une offre de logements intergénérationnels, accessibles, étudiants;Limiter l'étalement urbain et développer la ville des courtes distances;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=341;non
184;Mener des réflexions préalables sur l'accessibilité et les impacts déplacements de tout projet urbain;Adapter la ville pour favoriser les mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=184;non
358;Mettre en œuvre, suivre et réviser le Plan de Prévention du Bruit dans l'Environnement (PPBE) d'Orléans Métropole;Préserver les ressources;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=358;non
144;Etendre le maillage de compteurs vélo et communiquer sur la pratique;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=144;non
161;Créer des aires de covoiturage et de nouveaux parking-relais;Améliorer et développer les services de mobilité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=161;non
92;Parcours de visite (cyclables, piétons…) avec signalétiques explicatives;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=92;non
210;Apprendre à manger non transformés, sur les grands évènements, dans les supermarchés (coopérative de distribution).;Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=210;non
248;Développer des supports pédagogiques sur les espèces végétales et animales : livrets, panneaux, animations...;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=248;non
396;Doter les enseignants de kits pédagogiques pour faciliter leur mission d'éducateur en la matière;Développer la pédagogie autour de l'écoconsommation;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=396;non
4;Prendre en compte la biodiversité dans tous les projets énergies renouvelables;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=4;non
250;Faire connaître la réserve naturelle de Saint-Mesmin et ses enjeux;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=250;non
241;Augmenter les surfaces en friches des terrains agricoles;Conception et gestion des espaces  favorables à la biodiversité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=241;non
364;Développer des poumons verts dans la métropole;Préserver les ressources;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=364;non
105;Faire des mobiliers urbains informatifs, utilitaires, lieux de passages, aires de jeux;Montée en compétences des acteurs du territoire face au risque inondation;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=105;non
244;Poursuite des actions de mobilisation territoriale et de sensibilisation (à destination des élus, services, grand public etc);Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=244;non
180;Créer des espaces logistiques de proximité en centre-ville;Diminuer l'impact des véhicules motorisés sur l'environnement;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=180;non
108;Informer les agriculteurs sur les techniques de travail du sol pour éviter le risque;Montée en compétences des acteurs du territoire face au risque inondation;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=108;non
61;Passer dans une logique d'économie circulaire - Valoriser les déchets. Renforcer les liens avec la filière agricole (production, épandage). Renforcer les liens entre acteurs à toutes les mailles de la chaîne alimentaire (production, consommation, déchets...). Lien avec les transports : biométhane.;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=61;non
189;Regrouper les lieux et l’offre en produits locaux et de qualité en un même lieu pour faire gagner du temps aux utilisateurs;Faciliter l'accès aux produits locaux pour les professionnels et les particuliers;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=189;non
194;S'organiser pour remobiliser du foncier agricole vers la production avec la création d'un établissement foncier agricole;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=194;non
218;Encourager les communes à développer une régie locale de l'alimentation.;Favoriser les espaces nourriciers (jardins, végétations urbaines, …) en ville pour augmenter les sources de production locales;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=218;non
127;Réserver au moins 50% de l'espace public aux modes actifs dans tout ré aménagement;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=127;non
223;Développer à l'échelle d'Orléans Métropole les actions d'embellissons nos rues / cultivons notre ville (plantations participatives sur l'espace public aujourd'hui uniquement Ville d'Orléans);Les citoyens à l'action en faveur de la biodiversité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=223;non
357;Développer les ombrières photovoltaïques sur les aires de stationnement de grandes surfaces ou les entrepôts;Préserver les ressources;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=357;non
15;"Faire une observation des ""gelées blanches""";Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=15;non
264;Sanctuariser des zones humides et créer des mares en valorisant ce type d'écosystème;La nature comme solution;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=264;non
169;"Inciter au développement des ""pedibus""";Sensibiliser et accompagner les usagers vers les mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=169;non
325;Mettre en place des stress tests de situations de crise climatique et capitaliser sur ce qu'il faut faire pour parer les effets, agir et corriger suite à ces tests. Par exemple : une pandémie plus grave que celle du covid, une température de 40°C tous les jours pendant 30 jours, une inondation type 1856 avec arrêt des deux centrales nucléaires autour d'Orléans....;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=325;non
129;Limiter au maximum les aménagements mixtes entre piétons et cyclistes (type trottoir cyclable);(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=129;non
152;Développer le contrôle du stationnement (via vidéo-verbalisation ou autre);Réorganiser la circulation et le stationnement motorisés;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=152;non
206;"Développer des actions ""éducatives""  et l’implication des enfants et des enseignants";Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=206;non
262;Aménager des parcs “sauvages “;La nature comme solution;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=262;non
167;Relancer la semaine de la mobilité (avec des opérations de gratuité des transports et services vélos,  bourses aux vélos, ateliers de réparation …);Sensibiliser et accompagner les usagers vers les mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=167;non
361;Favoriser l’autonomie alimentaire et la production agricole bio en augmentant les zones agricoles, en aidant à l’installation (accès au foncier),  en soutenant les filières de formation…;Préserver les ressources;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=361;non
296;"Proposer un dispositif limitant l'avance de fonds par le porteur de projet : préfinancement des aides (prêt à taux 0) ou système de ""tiers payant""";Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=296;non
34;"Mettre en place un guichet unique qui accompagne sur les plans techniques et financiers les projets, notamment des communes avec un ""pool"" d’accompagnants, à toutes les étapes du projet";Impulser la dynamique du territoire en prenant appui sur la société à créer Orléans Métropole Energies;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=34;non
37;Développer une stratégie de sobriété sur l'éclairage public en lien avec l'enjeu biodiversité;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=37;non
1;Adopter des règles d’urbanisme en concertation avec les promoteurs en faveur de la transition énergétique en identifiant des objectifs réalisables;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=1;non
41;Favoriser les bonnes pratiques et les équipements performants bois-énergie chez les particuliers;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=41;non
253;Utiliser les plantations en ombrières;La nature comme solution;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=253;non
153;Développer le stationnement moto/scooter pour éviter l'encombrement des stationnements vélo;Réorganiser la circulation et le stationnement motorisés;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=153;non
317;Généraliser les études d'impact pour tous les projets d’aménagement.;Développer une approche intégrée d'évaluation des projets urbains;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=317;non
320;Mettre en place des approches intégrées prenant en compte la valeur globale dans les opérations d’aménagement (pas seulement la desserte, l’emplacement mais aussi la qualité des sols, la biodiversité …) - S’appuyer sur cette approche pour arbitrer entre les projets;Développer une approche intégrée d'évaluation des projets urbains;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=320;non
8;Sensibiliser aux objectifs des différents horizons, pour produire un intérêt. Etre conscient des enjeux pour changer de comportement.;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=8;non
